ArtNr,Label,Hersteller,Size,Hahnloch,Ueberlauf,Ablage
1313 154.100.185,"Duschwanne Kaldewei Calima, 900 x 900 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 600.100.185,"Duschwanne Kaldewei Superplan Zero, 100 x 150 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,150 x 2,,,

1313 614.100.000,"Duschwanne Kaldewei Superplan Zero, 100 x 180 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,180 x 2,,,

1313 462.100.184,"Duschwanne Kaldewei Superplan, 100 x 160 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,160 x 2.5,,,

1313 187.100.185,"Duschwanne Kaldewei Calima, 1700 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 450.100.000,"Duschwanne Kaldewei Superplan, 80 x 140 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,140 x 2.5,,,

1313 480.100.810,"Duschwanne Kaldewei Cayonoplan, 90 x 160 x 2,5 cm, Stahl, Schallisolierung Weiss Standard",Kaldewei,160 x 2.5,,,

1313 179.100.185,"Duschwanne Kaldewei Calima, 1500 x 750 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 432.100.185,"Duschwanne Kaldewei Superplan, 70 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,90 x 2.5,,,

1313 113.100.183,"Duschwanne Kaldewei Duschplan, 100 x 100 x 6,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Antislip",Kaldewei,100 x 6.5,,,

1313 612.100.000,"Duschwanne Kaldewei Superplan Zero, 80 x 180 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,180 x 2,,,

1313 182.100.185,"Duschwanne Kaldewei Calima, 1600 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 606.100.184,"Duschwanne Kaldewei Superplan Zero, 100 x 160 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Secure Plus",Kaldewei,160 x 2,,,

1313 186.100.185,"Duschwanne Kaldewei Calima, 1700 x 700 x 32 mm, SolidLite, schwellenlos mit unsichtbarer Wasserkante, ohne Stelzfüsse, schalldämmend Weiss Gleitschutz Invisible Grip",Kaldewei,,,,

1313 578.100.185,"Duschwanne Kaldewei Superplan Zero, 110 x 110 x 2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,110 x 2,,,

1313 317.100.000,"Duschwanne Kaldewei Superplan Classic, 90 x 120 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 2.5,,,

1313 434.100.185,"Duschwanne Kaldewei Superplan, 80 x 90 x 2,5 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss Gleitschutz Invisible Grip",Kaldewei,90 x 2.5,,,

1313 249.100.000,"Duschwanne Kaldewei Conoflat, 90 x 120 x 3,2 cm, Stahl, Schallisolierung Umweltdeklaration EPD Weiss",Kaldewei,120 x 3.2,,,

